Horizontal_vibration_signals,Vertical_vibration_signals
0.0,0.0
0.6000000000000001,1.2000000000000002
1.2000000000000002,2.4000000000000004
1.8000000000000003,3.6000000000000005
2.4000000000000004,4.800000000000001
3.0000000000000004,6.000000000000001
3.6000000000000005,7.200000000000001
4.200000000000001,8.400000000000002
4.800000000000001,9.600000000000001
5.4,10.8
6.000000000000001,12.000000000000002
6.600000000000001,13.200000000000003
7.200000000000001,14.400000000000002
7.800000000000001,15.600000000000001
8.400000000000002,16.800000000000004
9.000000000000002,18.000000000000004
9.600000000000001,19.200000000000003
10.200000000000001,20.400000000000002
10.8,21.6
11.400000000000002,22.800000000000004
12.000000000000002,24.000000000000004
12.600000000000001,25.200000000000003
13.200000000000003,26.400000000000006
13.800000000000002,27.600000000000005
14.400000000000002,28.800000000000004
15.000000000000002,30.000000000000004
15.600000000000001,31.200000000000003
16.200000000000003,32.400000000000006
16.800000000000004,33.60000000000001
17.400000000000002,34.800000000000004
18.000000000000004,36.00000000000001
18.6,37.2
