Horizontal_vibration_signals,Vertical_vibration_signals
0.0,0.0
0.1,0.2
0.2,0.4
0.30000000000000004,0.6000000000000001
0.4,0.8
0.5,1.0
0.6000000000000001,1.2000000000000002
0.7000000000000001,1.4000000000000001
0.8,1.6
0.9,1.8
1.0,2.0
1.1,2.2
1.2000000000000002,2.4000000000000004
1.3,2.6
1.4000000000000001,2.8000000000000003
1.5,3.0
1.6,3.2
1.7000000000000002,3.4000000000000004
1.8,3.6
1.9000000000000001,3.8000000000000003
2.0,4.0
2.1,4.2
2.2,4.4
2.3000000000000003,4.6000000000000005
2.4000000000000004,4.800000000000001
2.5,5.0
2.6,5.2
2.7,5.4
2.8000000000000003,5.6000000000000005
2.9000000000000004,5.800000000000001
3.0,6.0
3.1,6.2
