Horizontal_vibration_signals,Vertical_vibration_signals
0.0,0.0
0.2,0.4
0.4,0.8
0.6000000000000001,1.2000000000000002
0.8,1.6
1.0,2.0
1.2000000000000002,2.4000000000000004
1.4000000000000001,2.8000000000000003
1.6,3.2
1.8,3.6
2.0,4.0
2.2,4.4
2.4000000000000004,4.800000000000001
2.6,5.2
2.8000000000000003,5.6000000000000005
3.0,6.0
3.2,6.4
3.4000000000000004,6.800000000000001
3.6,7.2
3.8000000000000003,7.6000000000000005
4.0,8.0
4.2,8.4
4.4,8.8
4.6000000000000005,9.200000000000001
4.800000000000001,9.600000000000001
5.0,10.0
5.2,10.4
5.4,10.8
5.6000000000000005,11.200000000000001
5.800000000000001,11.600000000000001
6.0,12.0
6.2,12.4
