Horizontal_vibration_signals,Vertical_vibration_signals
0.0,0.0
0.4,0.8
0.8,1.6
1.2000000000000002,2.4000000000000004
1.6,3.2
2.0,4.0
2.4000000000000004,4.800000000000001
2.8000000000000003,5.6000000000000005
3.2,6.4
3.6,7.2
4.0,8.0
4.4,8.8
4.800000000000001,9.600000000000001
5.2,10.4
5.6000000000000005,11.200000000000001
6.0,12.0
6.4,12.8
6.800000000000001,13.600000000000001
7.2,14.4
7.6000000000000005,15.200000000000001
8.0,16.0
8.4,16.8
8.8,17.6
9.200000000000001,18.400000000000002
9.600000000000001,19.200000000000003
10.0,20.0
10.4,20.8
10.8,21.6
11.200000000000001,22.400000000000002
11.600000000000001,23.200000000000003
12.0,24.0
12.4,24.8
