feature,split,count,missing_count,nan_count,inf_count,mean,std,min,p25,median,p75,max,variance,is_constant
h__time__mean,train,442,0,0,0,-0.0002765174879268581,0.017974233393724774,-0.06912203860851597,-0.01019218064343885,-0.00010241692000647132,0.012083682366168153,0.06286267606805174,0.00032307306609209084,False
h__time__std,train,442,0,0,0,1.6503642232037004,1.2582017150529112,0.488400696801324,0.6256492084239258,0.8742294083667459,2.8291365683307275,7.268277881808693,1.5830715557620874,False
h__time__rms,train,442,0,0,0,1.6505185859779528,1.2581276452976435,0.4884995661519619,0.6256594731373456,0.8744639070387803,2.8291475650840052,7.268278160413312,1.582885171862193,False
h__time__mean_abs,train,442,0,0,0,1.2740974425271228,0.967332976965313,0.38941563140161933,0.4895206456398,0.6814249208032886,2.147791418890952,5.662015773456373,0.9357330883245747,False
h__time__ptp,train,442,0,0,0,20.369943882005785,15.006623162010708,3.8723230361938477,7.237368822097778,14.084714651107788,34.4499796628952,75.98226070404053,225.19873872659625,False
h__time__skewness,train,442,0,0,0,-0.031751829895385726,0.09914113828276867,-0.3262758632864695,-0.07823626079175841,-0.00271337113782635,0.0263437276915272,0.2953837489050947,0.009828965300003059,False
h__time__kurtosis,train,442,0,0,0,1.011477231102511,0.8774423899784326,-0.14214204172596112,0.3798025740743042,0.7571399366062728,1.634208851960129,5.767132137288474,0.7699051477310639,False
h__time__crest_factor,train,442,0,0,0,6.664731700334069,1.758533609715097,3.72850698225496,5.453713972811122,6.407844383294855,7.711075499595901,15.3347089081729,3.0924404564976093,False
h__time__impulse_factor,train,442,0,0,0,8.613511682947747,2.355674532160629,4.670144760247563,6.935481663589025,8.407045475535014,9.998992071755781,19.80206737326045,5.549202501470199,False
h__time__clearance_factor,train,442,0,0,0,10.31178062511428,2.8601600217489422,5.510651142875745,8.244718327181442,10.108668750687201,12.053826709045893,23.58626967387821,8.180515350010909,False
v__time__mean,train,442,0,0,0,-0.0011169907602618003,0.02266514643304591,-0.11087627827141122,-0.013263399095942135,-0.0008032483896177126,0.013364272466661583,0.07674425377913005,0.0005137088628314136,False
