feature,feature_family,physical_meaning,rul_score,health_score,early_fault_score,fault_type_score,overall_score,recommended_for,why,caveat,is_label_source,label_source_warning,example_plot
v__spectral__entropy,spectral,Spectral complexity or broadband excitation.,0.5835644440862786,0.8784360753532126,0.9862780310355943,0.0,0.6120696376187713,"HealthState,EarlyFault",separates health-state label distributions; changes between healthy and post-FPT samples,"Useful for spectral complexity, but physical interpretation is weaker than energy or bearing-frequency features.",False,,figures/curves/v__spectral__entropy.png
v__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.7349545684459793,0.7079280007975945,0.7236292687444712,0.0,0.5416279594970113,"RUL,HealthState",high RUL score from correlation/trend metrics; separates health-state label distributions,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__mean_abs.png
mag__time__mean,time_domain,Numerical feature extracted from the vibration snapshot.,0.7353060960945429,0.7028792664606992,0.728303173600773,0.0,0.5416221340390037,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean.png
mag__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.7353060960945429,0.7028792664606992,0.728303173600773,0.0,0.5416221340390037,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean_abs.png
mag__time__rms,time_domain,RMS vibration energy/amplitude level.,0.7345760799827227,0.6963411975378241,0.7279895517243837,0.0,0.5397267073112326,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming. Used as HI source for FPT-based labels; do not overclaim independent detection ability.,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,figures/curves/mag__time__rms.png
v__time__rms,time_domain,RMS vibration energy/amplitude level.,0.7285697994778435,0.6987760698286462,0.7268932392903202,0.0,0.5385597771492026,"RUL,HealthState",high RUL score from correlation/trend metrics; separates health-state label distributions,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__rms.png
v__time__std,time_domain,Signal dispersion and vibration intensity.,0.7258639354488265,0.6967365974609026,0.727078899065686,0.0,0.5374198579938538,"RUL,HealthState",high RUL score from correlation/trend metrics; separates health-state label distributions,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__std.png
mag__time__std,time_domain,Signal dispersion and vibration intensity.,0.7106662331353449,0.6460268726156434,0.7259585619668975,0.0,0.5206629169294714,"RUL,HealthState",high RUL score from correlation/trend metrics; separates health-state label distributions,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__std.png
mag__spectral__entropy,spectral,Spectral complexity or broadband excitation.,0.5521936677963396,0.6073411110927515,0.871893382155962,0.0,0.5078570402612632,EarlyFault,changes between healthy and post-FPT samples,"Useful for spectral complexity, but physical interpretation is weaker than energy or bearing-frequency features.",False,,figures/curves/mag__spectral__entropy.png
h__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.6984410082271023,0.6176355924246142,0.6999966846837731,0.0,0.5040183213338725,HealthState,separates health-state label distributions,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__mean_abs.png
h__time__rms,time_domain,RMS vibration energy/amplitude level.,0.7022325702173482,0.6036773491918203,0.6980899984535062,0.0,0.5009999794656687,RUL,high RUL score from correlation/trend metrics,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__rms.png
h__time__std,time_domain,Signal dispersion and vibration intensity.,0.7022198424099447,0.6032881168795842,0.6980837537688629,0.0,0.500897928264598,RUL,high RUL score from correlation/trend metrics,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__std.png
v__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.6507895576029966,0.599549481973568,0.7166317526285033,0.0,0.49174269805126697,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__ptp.png
h__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.6408852104966556,0.5764586668073165,0.6747997905259775,0.0,0.4730359169574874,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__ptp.png
