feature,feature_family,physical_meaning,rul_score,health_score,early_fault_score,fault_type_score,overall_score,recommended_for,why,caveat,is_label_source,label_source_warning,example_plot
mag__time__std,time_domain,Signal dispersion and vibration intensity.,0.6557272654617895,0.9924359098588,0.9537933742389808,0.0,0.6504891373898926,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__std.png
h__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.6327328234097969,0.9726589877650811,0.9930238404209537,0.0,0.6496039128989579,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__ptp.png
mag__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.6215857115173201,0.9610966869020489,0.999895649166535,0.0,0.645644511896476,"HealthState,EarlyFault",separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__ptp.png
v__time__ptp,time_domain,Peak-to-peak vibration amplitude.,0.6204249600545741,0.9595190898813497,0.996335510360968,0.0,0.644069890074223,"HealthState,EarlyFault",separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__ptp.png
mag__time__rms,time_domain,RMS vibration energy/amplitude level.,0.6544405882744502,0.9688176001728014,0.9513284595681561,0.0,0.6436466620038519,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming. Used as HI source for FPT-based labels; do not overclaim independent detection ability.,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,figures/curves/mag__time__rms.png
h__time__rms,time_domain,RMS vibration energy/amplitude level.,0.6542490286556777,0.9820369050572239,0.9354370920534829,0.0,0.6429307564415961,"RUL,HealthState",high RUL score from correlation/trend metrics; separates health-state label distributions,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__rms.png
h__time__std,time_domain,Signal dispersion and vibration intensity.,0.6533142918257953,0.9818580464823352,0.9356199303240593,0.0,0.6426980671580474,"RUL,HealthState",high RUL score from correlation/trend metrics; separates health-state label distributions,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__std.png
h__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.6533690875437028,0.982140145006334,0.9318090933579892,0.0,0.6418295814770065,"RUL,HealthState",high RUL score from correlation/trend metrics; separates health-state label distributions,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/h__time__mean_abs.png
mag__time__mean,time_domain,Numerical feature extracted from the vibration snapshot.,0.6494121494785365,0.9559761747750559,0.9495525815489778,0.0,0.6387352264506425,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean.png
mag__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.6494121494785365,0.9559761747750559,0.9495525815489778,0.0,0.6387352264506425,"RUL,HealthState,EarlyFault",high RUL score from correlation/trend metrics; separates health-state label distributions; changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__mean_abs.png
v__time__rms,time_domain,RMS vibration energy/amplitude level.,0.6304738426794938,0.8788063377930335,0.9468691259023416,0.0,0.6140373265937172,EarlyFault,changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__rms.png
v__time__std,time_domain,Signal dispersion and vibration intensity.,0.630824311971327,0.877735096094283,0.9468822343095651,0.0,0.6138604105937938,EarlyFault,changes between healthy and post-FPT samples,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__std.png
v__time__mean_abs,time_domain,Average absolute vibration magnitude.,0.6324931489712778,0.8619428666244231,0.9460308043716525,0.0,0.6101167049918383,RUL,high RUL score from correlation/trend metrics,Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/v__time__mean_abs.png
mag__spectral__entropy,spectral,Spectral complexity or broadband excitation.,0.5177345693943929,0.3920009032796711,0.8240881519699564,0.0,0.4334559061610051,,"highest relative score is for EarlyFault, but it is outside the top recommendation band","Useful for spectral complexity, but physical interpretation is weaker than energy or bearing-frequency features.",False,,figures/curves/mag__spectral__entropy.png
h__time__clearance_factor,time_domain,Sharp impulse sensitivity.,0.39409859991471485,0.3534333266376981,0.827274319966924,0.0,0.3937015616298343,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/h__time__clearance_factor.png
h__time__impulse_factor,time_domain,Peak shock relative to mean absolute level.,0.39183729197667433,0.34337120529609866,0.8108292839475575,0.0,0.38650944530508263,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/h__time__impulse_factor.png
h__time__kurtosis,time_domain,Impulsive shock sensitivity and tail heaviness.,0.3884861389099166,0.33041104593764875,0.8069911618012697,0.0,0.3814720866622088,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/h__time__kurtosis.png
mag__time__skewness,time_domain,Numerical feature extracted from the vibration snapshot.,0.41427424624641507,0.29183077106172056,0.7856192691582944,0.0,0.3729310716166075,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Confirm with train-only ranking and visual plots before overclaiming.,False,,figures/curves/mag__time__skewness.png
h__time__crest_factor,time_domain,Peak shock relative to RMS level.,0.385967398521062,0.32941031440212243,0.7722381843321414,0.0,0.3719039743138315,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/h__time__crest_factor.png
mag__time__kurtosis,time_domain,Impulsive shock sensitivity and tail heaviness.,0.3900940331952461,0.28924753756552823,0.670653120799206,0.0,0.33749867288999513,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/mag__time__kurtosis.png
mag__time__clearance_factor,time_domain,Sharp impulse sensitivity.,0.31804212011565036,0.307514155184901,0.5714533085077873,0.0,0.29925239595208464,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/mag__time__clearance_factor.png
mag__time__impulse_factor,time_domain,Peak shock relative to mean absolute level.,0.31575119852443917,0.29654843384231866,0.559175681859406,0.0,0.29286882855654095,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Sensitive to spikes/noise; verify curve stability before using as a RUL main feature.,False,,figures/curves/mag__time__impulse_factor.png
mag__spectral__centroid,spectral,Spectral energy center shift.,0.3906133163877772,0.24264620147392146,0.5320466560715472,0.0,0.29132654348331144,,"highest relative score is for EarlyFault, but it is outside the top recommendation band",Can be affected by operating-condition changes.,False,,figures/curves/mag__spectral__centroid.png
